# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1248
#@/user_id	662924db-9313-4d87-817a-45375dfe3f1f
shou ji 	手機	c=7 d=1.32485 t=1248
shou ji 	收集	c=0 d=0.0343009 t=1248
shou ji qi 	收集器	c=1 d=0.344728 t=1248
shou xian 	首先	c=1 d=0.600496 t=1248
shu jia 	暑假	c=1 d=1 t=708
shu xue 	數學	c=1 d=0.941765 t=1248
shua 	刷	c=1 d=1 t=895
shui 	睡	c=1 d=1 t=580
shui jiao 	睡覺	c=1 d=1 t=714
shun feng 	順豐	c=1 d=0.839457 t=1248
shuo 	說	c=3 d=0.307279 t=1248
si le 	死了	c=1 d=1 t=675
song da 	送達	c=1 d=1 t=444
sou 	搜	c=1 d=1 t=672
sou ti 	搜題	c=1 d=0.65377 t=1248
su 	速	c=1 d=0.157237 t=1248
sui ran 	雖然	c=1 d=1 t=1230
suo yi 	所以	c=9 d=3.51726 t=1208
suo yi ne 	所以呢	c=1 d=1 t=1138
ta 	他	c=3 d=2.90019 t=731
ta ma de 	他媽的	c=1 d=0.843665 t=1248
ta men 	他們	c=4 d=2.72116 t=1240
ta you 	他又	c=0 d=0.1 t=700
ta you bu shi 	他又不是	c=1 d=1 t=701
tai 	太	c=1 d=1.02133 t=1227
tai can le 	太慘了	c=1 d=1 t=934
tai hao 	太好	c=1 d=1 t=1005
tai hao xiao 	太好笑	c=1 d=1 t=919
tai ji 	太極	c=5 d=0.664738 t=1248
tao bao 	淘寶	c=1 d=0.210136 t=1248
teng xun 	騰訊	c=2 d=0.493842 t=1248
ti 	題	c=2 d=0.647265 t=1248
ti jian 	體檢	c=1 d=1 t=821
tian 	天	c=1 d=1 t=484
tian jia 	添加	c=0 d=0.0715338 t=1248
tian qi 	天氣	c=1 d=1 t=1018
tian tan 	天壇	c=1 d=0.683861 t=1248
tiao 	調	c=1 d=1 t=507
tiao jian 	條件	c=1 d=1 t=724
tiao jiao 	調教	c=1 d=1 t=726
tiao shi 	調試	c=1 d=1 t=400
ting 	挺	c=1 d=0.496585 t=1248
ting shuo 	聽說	c=1 d=0.88692 t=1248
tong wen 	同文	c=2 d=0.327312 t=1248
tong xing lian 	同性戀	c=1 d=1 t=857
tu 	圖	c=1 d=1 t=753
tu ran 	突然	c=1 d=1 t=677
tu tu 	兔兔	c=2 d=0.293956 t=1248
tuan 	團	c=1 d=0.474734 t=1248
tui jian 	推薦	c=2 d=0.168638 t=1248
wa 	哇	c=1 d=0.418952 t=1248
wa 	挖	c=2 d=1.92774 t=730
